ref,who,common,scientific,genus,lng,lat,date_planted,address,city,state,zip,country,neighborhood,health,dbh,height,owner,url,urlimage,status,notes
441,tfo,cajeput tree,Melaleuca quinquenervia,,-122.300431,37.803359,2018-06-21 09:00:00,1691 3rd St,Oakland,CA,,US,South Prescott - South Prescott Park,good,,,Public,,,#24 of 25 - replaced June 2018,Fair due to age in comparison
442,tfo,primrose tree,Lagunaria patersonii,,-122.300410,37.803407,2017-06-03 09:00:00,1691 3rd St,Oakland,CA,,US,South Prescott - South Prescott Park,good,,,Public,,,#25 of 25,
561,tfo,Green Gable tupelo,Nyssa sylvatica 'Green Gable' (tupelo),,-122.196532,37.779369,2018-02-10 09:00:00,2800 Best Ave,Oakland,CA,,US,Fairfax,good,,,Public,,,,
562,tfo,hybrid madrone,Arbutus 'Marina',,-122.196467,37.779343,2018-02-10 09:00:00,2800 Best Ave,Oakland,CA,,US,Fairfax,good,,,Public,,,,
563,tfo,silver linden,Tilia tomentosa 'Silver Lining' (silver linden),,-122.196419,37.779321,2018-02-10 09:00:00,2800 Best Ave,Oakland,CA,,US,Fairfax,good,,,Public,,,,
564,tfo,Saratoga laurel,Laurus nobilis 'Saratoga' (Saratoga laurel),,-122.196357,37.779292,2018-02-10 09:00:00,2800 Best Ave,Oakland,CA,,US,Fairfax,good,,,Public,,,,
574,tfo,Australian willow,Geijera parviflora (Australian willow),,-122.196525,37.779427,2018-02-25 09:00:00,2800 Best Ave,Oakland,CA,,US,Fairfax,good,,,Private,,,,
693,tfo,red horsechestnut,Aesculus carnea 'Briottii' (red horsechestnut),,-122.289733,37.815019,2018-06-30 09:00:00,1960 Mandela Pkwy,Oakland,CA,,US,West Oakland - Pacific Pipe / American Steel property,good,,,Public,,,,
708,tfo,African sumac,Rhus lancea,,-122.282370,37.822270,2019-02-19 09:00:00,3015 Adeline St,Oakland,CA,,US,West Oakland - excluding parks/ Pacific Pipe / American Steel/ and condos,good,,,Public,,,replaced Podocarpus w Rhus 2/19/2019 - public prop not private,
709,tfo,African sumac,Rhus lancea,,-122.281876,37.822156,2019-02-19 09:00:00,3015 Adeline St,Oakland,CA,,US,West Oakland - excluding parks/ Pacific Pipe / American Steel/ and condos,good,,,Public,,,replaced Podocarpus w Rhus 2/19/2019 - public prop not private,
710,tfo,African sumac,Rhus lancea,,-122.281790,37.822138,2019-02-19 09:00:00,3015 Adeline St,Oakland,CA,,US,West Oakland - excluding parks/ Pacific Pipe / American Steel/ and condos,good,,,Public,,,replaced Podocarpus w Rhus 2/19/2019 - public prop not private,
711,tfo,chitalpa,Chitalpa tashkentensis 'Pink Dawn',,-122.289287,37.815182,2018-07-17 09:00:00,1960 Mandela Pkwy,Oakland,CA,,US,West Oakland - Pacific Pipe / American Steel property,good,,,Private,,,,
712,tfo,chitalpa,Chitalpa tashkentensis 'Pink Dawn',,-122.289228,37.815164,2018-07-17 09:00:00,1960 Mandela Pkwy,Oakland,CA,,US,West Oakland - Pacific Pipe / American Steel property,good,,,Private,,,,
713,tfo,chitalpa,Chitalpa tashkentensis 'Pink Dawn',,-122.289162,37.815150,2018-07-17 09:00:00,1960 Mandela Pkwy,Oakland,CA,,US,West Oakland - Pacific Pipe / American Steel property,good,,,Private,,,,
714,tfo,Turkish hazel,Corylus colurna (Turkish hazel),,-122.289256,37.815191,2018-07-17 09:00:00,1960 Mandela Pkwy,Oakland,CA,,US,West Oakland - Pacific Pipe / American Steel property,good,,,Private,,,,
715,tfo,Turkish hazel,Corylus colurna (Turkish hazel),,-122.289184,37.815175,2018-07-17 09:00:00,1960 Mandela Pkwy,Oakland,CA,,US,West Oakland - Pacific Pipe / American Steel property,good,,,Private,,,,
716,tfo,goldenrain tree,Koelreuteria paniculata 'Summerburst',,-122.289620,37.815077,2018-07-18 09:00:00,1960 Mandela Pkwy,Oakland,CA,,US,West Oakland - Pacific Pipe / American Steel property,good,,,Private,,,,
717,tfo,goldenrain tree,Koelreuteria paniculata 'Summerburst',,-122.289361,37.815025,2018-07-17 09:00:00,1960 Mandela Pkwy,Oakland,CA,,US,West Oakland - Pacific Pipe / American Steel property,good,,,Private,,,,
718,tfo,goldenrain tree,Koelreuteria paniculata 'Summerburst',,-122.289246,37.815002,2018-07-18 09:00:00,1960 Mandela Pkwy,Oakland,CA,,US,West Oakland - Pacific Pipe / American Steel property,good,,,Private,,,,
735,tfo,hybrid madrone,Arbutus 'Marina',,-122.281621,37.822429,2018-12-06 09:00:00,3015 Adeline St,Oakland,CA,,US,West Oakland - excluding parks/ Pacific Pipe / American Steel/ and condos,good,,,Public,,,,
736,tfo other,,Arbutus 'Marina',,-122.281528,37.822677,2018-12-06 09:00:00,3031 Adeline St,Oakland,CA,,US,West Oakland - excluding parks/ Pacific Pipe / American Steel/ and condos,good,,,Public,,,NOT CF; officially removed but replanted by owner,
737,tfo other,,Arbutus 'Marina',,-122.281511,37.822720,2018-12-06 09:00:00,3031 Adeline St,Oakland,CA,,US,West Oakland - excluding parks/ Pacific Pipe / American Steel/ and condos,good,,,Public,,,NOT CF,
236,tfo,Brisbane box,Lophostemon confertus Brisbane box,,-122.287740,37.819333,2017-01-28 09:00:00,2431 Peralta St,Oakland,CA,,US,West Oakland - excluding parks/ Pacific Pipe / American Steel/ and condos,good,,,Public,,,Peralta #1 of 10 (northernmost),Construction on building/ tree staked to protect
237,tfo,Brisbane box,Lophostemon confertus Brisbane box,,-122.287803,37.819260,2017-01-28 09:00:00,2431 Peralta St,Oakland,CA,,US,West Oakland - excluding parks/ Pacific Pipe / American Steel/ and condos,good,,,Public,,,Peralta #2 of 10,Stake can be removed soon
238,tfo,Brisbane box,Lophostemon confertus Brisbane box,,-122.287884,37.819153,2017-01-28 09:00:00,2431 Peralta St,Oakland,CA,,US,West Oakland - excluding parks/ Pacific Pipe / American Steel/ and condos,good,,,Public,,,Peralta #3 of 10,Stake can be removed soon
239,tfo,Autumn Blaze maple,Acer x freemanii 'Autumn Blaze',,-122.288023,37.818979,2017-01-28 09:00:00,2431 Peralta St,Oakland,CA,,US,West Oakland - excluding parks/ Pacific Pipe / American Steel/ and condos,good,,,Public,,,Peralta #4 of 10,
240,tfo,Autumn Blaze maple,Acer x freemanii 'Autumn Blaze',,-122.288085,37.818902,2017-01-28 09:00:00,2431 Peralta St,Oakland,CA,,US,West Oakland - excluding parks/ Pacific Pipe / American Steel/ and condos,good,,,Public,,,Peralta #5 of 10,
241,tfo,Autumn Blaze maple,Acer x freemanii 'Autumn Blaze',,-122.288145,37.818827,2017-01-28 09:00:00,2431 Peralta St,Oakland,CA,,US,West Oakland - excluding parks/ Pacific Pipe / American Steel/ and condos,good,,,Public,,,Peralta #6 of 10,
242,tfo,Brisbane box,Lophostemon confertus Brisbane box,,-122.288239,37.818710,2019-03-01 09:00:00,2431 Peralta St,Oakland,CA,,US,West Oakland - excluding parks/ Pacific Pipe / American Steel/ and condos,good,,,Public,,,Peralta #7 of 10,
243,tfo,Brisbane box,Lophostemon confertus Brisbane box,,-122.288310,37.818618,2017-01-28 09:00:00,2431 Peralta St,Oakland,CA,,US,West Oakland - excluding parks/ Pacific Pipe / American Steel/ and condos,good,,,Public,,,Peralta #8 of 10,Stake can be removed soon
244,tfo,Brisbane box,Lophostemon confertus Brisbane box,,-122.288369,37.818537,2019-03-01 09:00:00,2431 Peralta St,Oakland,CA,,US,West Oakland - excluding parks/ Pacific Pipe / American Steel/ and condos,good,,,Public,,,Peralta #9 of 10,
245,tfo,Brisbane box,Lophostemon confertus Brisbane box,,-122.288419,37.818470,2017-01-28 09:00:00,2431 Peralta St,Oakland,CA,,US,West Oakland - excluding parks/ Pacific Pipe / American Steel/ and condos,good,,,Public,,,Peralta #10 of 10 (southernmost),Stake can be removed soon
246,tfo,cork oak,Quercus suber Cork Oak,,-122.288550,37.818342,2017-01-28 09:00:00,2431 Peralta St,Oakland,CA,,US,West Oakland - excluding parks/ Pacific Pipe / American Steel/ and condos,fair,,,Public,,,24th St #1 of 4 (easternmost) - replaced June '18,replaced 6/08/18
247,tfo,cork oak,Quercus suber Cork Oak,,-122.288632,37.818304,2017-01-28 09:00:00,2431 Peralta St,Oakland,CA,,US,West Oakland - excluding parks/ Pacific Pipe / American Steel/ and condos,good,,,Public,,,24th St #2 of 4,
248,tfo,cork oak,Quercus suber Cork Oak,,-122.288720,37.818282,2019-06-14 09:00:00,2431 Peralta St,Oakland,CA,,US,West Oakland - excluding parks/ Pacific Pipe / American Steel/ and condos,good,,,Public,,,poor form - replaced June '19,
249,tfo,cork oak,Quercus suber Cork Oak,,-122.288892,37.818276,2017-01-28 09:00:00,2431 Peralta St,Oakland,CA,,US,West Oakland - excluding parks/ Pacific Pipe / American Steel/ and condos,good,,,Public,,,24th St #4 of 4 (westernmost),
1,tfo,Princeton American elm,Ulmus americana 'Princeton',,-122.242127,37.789876,2016-01-30 09:00:00,1600 Foothill Blvd,Oakland,CA,,US,Clinton Park / San Antonio - San Antonio Park,good,,,Public,,,,
2,tfo,Princeton American elm,Ulmus americana 'Princeton',,-122.242040,37.789826,2016-01-30 09:00:00,1600 Foothill Blvd,Oakland,CA,,US,Clinton Park / San Antonio - San Antonio Park,good,,,Public,,,,
3,tfo,Princeton American elm,Ulmus americana 'Princeton',,-122.241938,37.789765,2016-01-30 09:00:00,1600 Foothill Blvd,Oakland,CA,,US,Clinton Park / San Antonio - San Antonio Park,good,,,Public,,,,
4,tfo,Princeton American elm,Ulmus americana 'Princeton',,-122.241829,37.789700,2016-01-30 09:00:00,1600 Foothill Blvd,Oakland,CA,,US,Clinton Park / San Antonio - San Antonio Park,good,,,Public,,,,
5,tfo,Princeton American elm,Ulmus americana 'Princeton',,-122.241718,37.789636,2016-01-30 09:00:00,1600 Foothill Blvd,Oakland,CA,,US,Clinton Park / San Antonio - San Antonio Park,good,,,Public,,,,
6,tfo,Princeton American elm,Ulmus americana 'Princeton',,-122.241393,37.789444,2016-01-30 09:00:00,1700 Foothill Blvd,Oakland,CA,,US,Clinton Park / San Antonio - San Antonio Park,good,,,Public,,,,
7,tfo,Princeton American elm,Ulmus americana 'Princeton',,-122.241289,37.789384,2016-01-30 09:00:00,1700 Foothill Blvd,Oakland,CA,,US,Clinton Park / San Antonio - San Antonio Park,good,,,Public,,,,
8,tfo,Princeton American elm,Ulmus americana 'Princeton',,-122.241180,37.789319,2016-01-30 09:00:00,1700 Foothill Blvd,Oakland,CA,,US,Clinton Park / San Antonio - San Antonio Park,good,,,Public,,,,
9,tfo,Princeton American elm,Ulmus americana 'Princeton',,-122.241064,37.789249,2016-01-30 09:00:00,1700 Foothill Blvd,Oakland,CA,,US,Clinton Park / San Antonio - San Antonio Park,good,,,Public,,,,Metal post as second planting stake removed
10,tfo,Princeton American elm,Ulmus americana 'Princeton',,-122.240950,37.789182,2016-01-30 09:00:00,1700 Foothill Blvd,Oakland,CA,,US,Clinton Park / San Antonio - San Antonio Park,good,,,Public,,,,
11,tfo,Princeton American elm,Ulmus americana 'Princeton',,-122.240820,37.789098,2016-01-30 09:00:00,1700 Foothill Blvd,Oakland,CA,,US,Clinton Park / San Antonio - San Antonio Park,good,,,Public,,,,
12,tfo,Princeton American elm,Ulmus americana 'Princeton',,-122.240704,37.789028,2016-01-30 09:00:00,1700 Foothill Blvd,Oakland,CA,,US,Clinton Park / San Antonio - San Antonio Park,good,,,Public,,,,
13,tfo,Princeton American elm,Ulmus americana 'Princeton',,-122.240583,37.788960,2016-01-30 09:00:00,1700 Foothill Blvd,Oakland,CA,,US,Clinton Park / San Antonio - San Antonio Park,good,,,Public,,,,
14,tfo,Jefferson American elm,Ulmus americana 'Jefferson',,-122.240409,37.788998,2016-01-30 09:00:00,1601 18th Ave,Oakland,CA,,US,Clinton Park / San Antonio - San Antonio Park,good,,,Public,,,,
15,tfo,Jefferson American elm,Ulmus americana 'Jefferson',,-122.240207,37.789211,2016-01-30 09:00:00,1601 18th Ave,Oakland,CA,,US,Clinton Park / San Antonio - San Antonio Park,good,,,Public,,,,
16,tfo,Jefferson American elm,Ulmus americana 'Jefferson',,-122.239873,37.789562,2016-01-30 09:00:00,1601 18th Ave,Oakland,CA,,US,Clinton Park / San Antonio - San Antonio Park,good,,,Public,,,,
17,tfo,Jefferson American elm,Ulmus americana 'Jefferson',,-122.239632,37.789822,2016-01-30 09:00:00,1601 18th Ave,Oakland,CA,,US,Clinton Park / San Antonio - San Antonio Park,good,,,Public,,,,
18,tfo,Jefferson American elm,Ulmus americana 'Jefferson',,-122.239537,37.789921,2016-01-30 09:00:00,1601 18th Ave,Oakland,CA,,US,Clinton Park / San Antonio - San Antonio Park,good,,,Public,,,,
19,tfo,Jefferson American elm,Ulmus americana 'Jefferson',,-122.239423,37.790038,2016-01-30 09:00:00,1601 18th Ave,Oakland,CA,,US,Clinton Park / San Antonio - San Antonio Park,good,,,Public,,,,
20,tfo,Jefferson American elm,Ulmus americana 'Jefferson',,-122.239279,37.790190,2016-01-30 09:00:00,1601 18th Ave,Oakland,CA,,US,Clinton Park / San Antonio - San Antonio Park,good,,,Public,,,,
21,tfo,Jefferson American elm,Ulmus americana 'Jefferson',,-122.239202,37.790270,2016-01-30 09:00:00,1601 18th Ave,Oakland,CA,,US,Clinton Park / San Antonio - San Antonio Park,good,,,Public,,,,
22,tfo,Frontier elm,Ulmus x 'Frontier',,-122.239209,37.790502,2016-01-30 09:00:00,1601 East 19th St,Oakland,CA,,US,Clinton Park / San Antonio - San Antonio Park,good,,,Public,,,,All trees in San Antiono Park are wrapped in chicken wire
23,tfo,Frontier elm,Ulmus x 'Frontier',,-122.239367,37.790599,2016-01-30 09:00:00,1601 East 19th St,Oakland,CA,,US,Clinton Park / San Antonio - San Antonio Park,good,,,Public,,,,
24,tfo,Frontier elm,Ulmus x 'Frontier',,-122.239644,37.790764,2016-01-30 09:00:00,1601 East 19th St,Oakland,CA,,US,Clinton Park / San Antonio - San Antonio Park,good,,,Public,,,,
25,tfo,Frontier elm,Ulmus x 'Frontier',,-122.239778,37.790846,2016-01-30 09:00:00,1601 East 19th St,Oakland,CA,,US,Clinton Park / San Antonio - San Antonio Park,good,,,Public,,,,
